Standard Catalog Information,,
Product Type,Required Parameters,Details
Amazon EC2 Linux,Description,Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides resizable compute capacity in the cloud.
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed."
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the instance. If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,AllowedSSH Location,The IP address range that can be used to SSH to the EC2 instances
,LatestAmiId,Please enter an  AMI of the EC2 instance.
,Instance Type,Choose the instance type for this instance. Eg: t2.small
,Expected time to provision,5 minutes
Amazon EC2 Windows,Description,Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides resizable compute capacity in the cloud.
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed"
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the instance.  If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,AllowedSSHLocation,The IP address range that can be used to SSH to the EC2 instances
,LatestAmiID,Please enter an AMI of the EC2 instance
,Instance Type,Choose the instance type for this instance. Eg: t2.small
,Expected time to provision,5 minutes
Amazon S3,Description,"Amazon Simple Storage Service (Amazon S3) is an object storage service that offers scalability, data availability, security and performance."
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed"
,Expected time to provision,2 minutes
Amazon SageMaker,Description,"Amazon SageMaker is a fully managed service that provides the ability to build, train and deploy ML models."
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed."
,Instance Type,Select Instance type for the SageMaker Notebook. Eg: ml.t2.medium
,Expected time to provision,15 minutes
